[0.000000] (-) TimerEvent: {}
[0.000973] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001479] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001864] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.002038] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002148] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002233] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.002340] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002570] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002784] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.003032] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.003155] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.003225] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.003293] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.003360] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.003429] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.003497] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.003566] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.003633] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.003700] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.003771] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.003838] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.003905] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.003972] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.004040] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.004107] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.004174] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.004240] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.004307] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.004373] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.004440] (-) JobUnselected: {'identifier': 'navigation2'}
[0.004506] (-) JobUnselected: {'identifier': 'rpi_robot_action_interfaces'}
[0.004572] (-) JobUnselected: {'identifier': 'rpi_robot_bringup'}
[0.004638] (-) JobUnselected: {'identifier': 'rpi_robot_control'}
[0.004704] (-) JobUnselected: {'identifier': 'rpi_robot_slam'}
[0.004771] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.004837] (-) JobUnselected: {'identifier': 'smac_planner'}
[0.004904] (-) EventReactorShutdown: {}
